Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
680,8.42555,11.15142,56.59884,21.51848,33.09334,23.10143,15.30095,23.4125,186.64802,14.15445,7.14432,40.03985,56.63538,,,,,,,,,,,,,
690,8.42555,11.11976,56.46107,21.51848,33.09334,23.09923,15.26416,23.4125,186.64802,14.14871,7.14305,40.03985,56.63538,,,,,,,,,,,,,
700,8.38152,11.11976,56.46107,21.46889,33.09334,23.09152,15.24687,23.4125,186.64802,14.14871,7.14126,40.03985,56.63538,,,,,,,,,,,,,
710,8.3806,11.11976,56.46107,21.46889,33.05745,23.09152,15.21807,23.0619,186.64802,14.14871,7.14126,40.03767,56.47704,,,,,,,,,,,,,
720,8.36942,11.11739,56.46107,21.46889,33.05371,23.08969,15.21627,23.0619,185.46962,14.14871,7.11498,40.03767,56.47704,,,,,,,,,,,,,
730,8.36491,11.11739,56.46107,21.46889,33.04586,23.08969,15.21008,22.94198,185.46962,14.1439,7.11498,40.03767,56.47704,,,,,,,,,,,,,
740,8.08449,11.1155,56.46107,21.46889,33.04586,23.05411,15.20166,22.89078,185.46962,14.1439,7.11389,39.99695,56.47704,,,,,,,,,,,,,
750,8.0833,10.91415,56.46107,21.46889,33.038,22.97157,15.19566,22.87406,185.02281,14.14298,7.11277,39.99695,56.47704,,,,,,,,,,,,,
760,8.07505,10.91415,56.46107,21.46889,33.038,22.94809,15.17076,22.87406,185.02281,14.14298,7.10454,39.99695,56.47704,,,,,,,,,,,,,
770,8.07505,10.91398,56.46107,21.46889,33.03782,22.94809,15.16276,22.87406,185.01627,14.13633,7.1004,39.9864,56.47704,,,,,,,,,,,,,
780,8.02749,10.89968,56.45307,21.46889,32.2902,22.85051,15.13183,22.87406,185.01627,14.13244,7.1004,39.80167,56.47704,,,,,,,,,,,,,
790,8.02662,10.89507,56.3224,21.46889,32.28684,22.84648,15.12124,22.87406,185.01627,14.13037,7.09029,39.73549,56.47704,,,,,,,,,,,,,
