Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83,test,test1
750,7.855,9.73372,57.80329,16.77565,27.36236,21.0365,20.81867,178.07846,14.24615,6.01011,41.28458,51.52273,,,,,,,,,,,,,,14.0845238,14.38965906
760,7.92455,9.72521,57.02996,16.4696,27.13036,21.04714,21.34806,180.08501,14.27778,6.00682,40.89804,51.45366,,,,,,,,,,,,,,14.04073654,14.40501898
770,7.90859,9.70436,57.93307,14.8883,27.7458,20.77934,21.24007,179.71512,14.30094,6.01519,41.34822,51.44622,,,,,,,,,,,,,,14.08360679,14.2330795
780,7.96657,9.73248,56.70018,15.08632,27.66261,20.71845,20.95287,178.86078,14.28856,5.98923,39.99585,51.65663,,,,,,,,,,,,,,14.05517946,14.25394149
790,7.95881,9.74223,56.49484,13.65592,26.77796,20.16489,21.24974,178.55309,14.23973,5.99046,39.70495,51.18267,,,,,,,,,,,,,,14.04279982,14.2200121
800,7.91994,9.76622,54.83084,13.76219,27.72075,20.23973,21.79106,172.84114,14.33991,6.01467,37.37076,48.79478,,,,,,,,,,,,,,14.12578927,14.17530784
810,7.92162,9.756,56.28596,13.61554,24.80207,20.37619,22.37244,172.96717,14.42336,6.03033,37.69731,48.60775,,,,,,,,,,,,,,14.32638533,14.17714186
820,7.9758,9.73975,57.06196,13.32401,24.82451,20.22982,22.32603,172.66929,14.52561,6.00409,36.03076,48.26237,,,,,,,,,,,,,,14.25279523,14.22322164
830,8.02716,9.71375,56.69396,13.13449,23.89592,19.52439,22.50525,173.58746,14.55954,5.98148,38.93076,48.24218,,,,,,,,,,,,,,14.17805887,14.12578927
840,8.04638,9.65574,56.38107,15.25281,24.66579,19.49028,21.6748,173.68239,14.41442,5.94517,39.37549,48.35164,,,,,,,,,,,,,,14.21840734,14.13427162
